id;nombres;edad;notas
298;nombre 298;14;14
299;nombre 299;17;0
300;nombre 300;14;16
301;nombre 301;17;17
302;nombre 302;13;10
303;nombre 303;11;12
304;nombre 304;13;19
305;nombre 305;15;19
306;nombre 306;14;18
307;nombre 307;12;18
308;nombre 308;15;15
309;nombre 309;11;9
310;nombre 310;16;7
311;nombre 311;12;1
312;nombre 312;10;17
313;nombre 313;19;13
314;nombre 314;16;12
315;nombre 315;11;14
316;nombre 316;11;5
317;nombre 317;10;10
318;nombre 318;18;13
319;nombre 319;16;15
320;nombre 320;12;18
321;nombre 321;10;11
322;nombre 322;19;8
323;nombre 323;17;2
324;nombre 324;10;4
325;nombre 325;19;13
326;nombre 326;10;11
327;nombre 327;15;1
328;nombre 328;12;4
329;nombre 329;12;7
330;nombre 330;16;18
331;nombre 331;17;18
332;nombre 332;14;4
333;nombre 333;20;17
334;nombre 334;20;2
335;nombre 335;17;8
336;nombre 336;16;20
337;nombre 337;12;14
338;nombre 338;19;16
339;nombre 339;13;3
340;nombre 340;13;16
341;nombre 341;11;2
342;nombre 342;17;12
343;nombre 343;13;9
344;nombre 344;14;1
345;nombre 345;11;19
346;nombre 346;10;19
347;nombre 347;13;14
348;nombre 348;13;17
349;nombre 349;11;13
350;nombre 350;16;7
351;nombre 351;11;11
352;nombre 352;18;10
353;nombre 353;20;5
354;nombre 354;12;4
355;nombre 355;13;2
356;nombre 356;14;3
357;nombre 357;10;7
358;nombre 358;15;9
359;nombre 359;10;2
360;nombre 360;20;12
361;nombre 361;18;4
362;nombre 362;18;0
363;nombre 363;14;14
364;nombre 364;16;2
365;nombre 365;19;15
366;nombre 366;15;4
367;nombre 367;20;19
368;nombre 368;18;10
369;nombre 369;19;19
370;nombre 370;19;14
371;nombre 371;17;16
372;nombre 372;18;2
373;nombre 373;17;14
374;nombre 374;14;6
375;nombre 375;20;14
376;nombre 376;20;6
377;nombre 377;14;9
378;nombre 378;16;4
379;nombre 379;20;15
380;nombre 380;19;20
381;nombre 381;20;15
382;nombre 382;18;0
383;nombre 383;10;13
384;nombre 384;14;13
385;nombre 385;17;11
386;nombre 386;17;11
387;nombre 387;17;18
388;nombre 388;19;16
389;nombre 389;18;0
390;nombre 390;13;17
391;nombre 391;18;16
392;nombre 392;10;17
393;nombre 393;15;5
394;nombre 394;20;5
395;nombre 395;16;6
396;nombre 396;16;15
397;nombre 397;13;10
398;nombre 398;14;20
399;nombre 399;16;6
400;nombre 400;12;2
401;nombre 401;19;12
402;nombre 402;13;4
403;nombre 403;17;14
404;nombre 404;16;0
405;nombre 405;10;1
406;nombre 406;11;3
407;nombre 407;12;11
408;nombre 408;14;20
409;nombre 409;14;19
410;nombre 410;17;0
411;nombre 411;18;13
412;nombre 412;14;6
413;nombre 413;17;20
414;nombre 414;14;3
415;nombre 415;12;13
416;nombre 416;13;4
417;nombre 417;13;4
418;nombre 418;19;9
419;nombre 419;17;13
420;nombre 420;13;7
421;nombre 421;15;2
422;nombre 422;10;9
423;nombre 423;10;2
424;nombre 424;14;19
425;nombre 425;15;11
426;nombre 426;16;19
427;nombre 427;19;9
428;nombre 428;19;13
429;nombre 429;13;19
430;nombre 430;11;15
431;nombre 431;17;15
432;nombre 432;14;18
433;nombre 433;11;15
434;nombre 434;11;6
435;nombre 435;17;15
436;nombre 436;18;20
437;nombre 437;20;15
438;nombre 438;16;17
439;nombre 439;10;10
440;nombre 440;14;10
441;nombre 441;17;6
442;nombre 442;18;1
443;nombre 443;17;0
444;nombre 444;20;4
445;nombre 445;15;3
446;nombre 446;11;10
447;nombre 447;10;0
448;nombre 448;14;1
449;nombre 449;15;15
450;nombre 450;12;16
451;nombre 451;16;3
452;nombre 452;20;14
453;nombre 453;10;10
454;nombre 454;20;18
455;nombre 455;18;14
456;nombre 456;18;2
457;nombre 457;10;11
458;nombre 458;13;19
459;nombre 459;15;5
460;nombre 460;20;10
461;nombre 461;15;4
462;nombre 462;12;7
463;nombre 463;12;18
464;nombre 464;16;16
465;nombre 465;19;16
466;nombre 466;13;5
467;nombre 467;20;3
468;nombre 468;16;9
469;nombre 469;19;7
470;nombre 470;16;0
471;nombre 471;12;0
472;nombre 472;13;6
473;nombre 473;13;2
474;nombre 474;17;4
475;nombre 475;10;20
476;nombre 476;11;20
477;nombre 477;13;10
478;nombre 478;20;19
479;nombre 479;11;0
480;nombre 480;15;20
481;nombre 481;18;9
482;nombre 482;14;9
483;nombre 483;13;1
484;nombre 484;11;13
485;nombre 485;14;11
486;nombre 486;12;9
487;nombre 487;11;16
488;nombre 488;18;11
489;nombre 489;18;16
490;nombre 490;10;17
491;nombre 491;15;15
492;nombre 492;20;10
493;nombre 493;15;13
494;nombre 494;18;14
495;nombre 495;11;15
496;nombre 496;16;8
497;nombre 497;20;8
498;nombre 498;18;17
499;nombre 499;16;20
500;nombre 500;12;7
501;nombre 501;11;1
502;nombre 502;11;13
503;nombre 503;19;12
504;nombre 504;17;6
505;nombre 505;11;14
506;nombre 506;18;5
507;nombre 507;11;11
508;nombre 508;13;11
509;nombre 509;12;9
510;nombre 510;10;15
511;nombre 511;13;0
512;nombre 512;18;3
513;nombre 513;18;14
514;nombre 514;14;11
515;nombre 515;17;19
516;nombre 516;15;5
517;nombre 517;12;16
518;nombre 518;16;6
519;nombre 519;12;13
520;nombre 520;13;6
521;nombre 521;15;15
522;nombre 522;20;18
523;nombre 523;12;8
524;nombre 524;20;16
525;nombre 525;16;1
526;nombre 526;16;7
527;nombre 527;18;17
528;nombre 528;17;15
529;nombre 529;16;10
530;nombre 530;13;12
531;nombre 531;15;17
532;nombre 532;20;4
533;nombre 533;13;19
534;nombre 534;12;2
535;nombre 535;10;16
536;nombre 536;14;3
537;nombre 537;12;12
538;nombre 538;13;5
539;nombre 539;12;16
540;nombre 540;20;14
541;nombre 541;18;16
542;nombre 542;10;13
543;nombre 543;13;19
544;nombre 544;15;5
545;nombre 545;11;9
546;nombre 546;14;12
547;nombre 547;14;2
548;nombre 548;16;6
549;nombre 549;12;2
550;nombre 550;19;19
551;nombre 551;14;11
552;nombre 552;13;18
553;nombre 553;16;5
554;nombre 554;12;14
555;nombre 555;19;6
556;nombre 556;15;0
557;nombre 557;12;19
558;nombre 558;20;16
559;nombre 559;14;5
560;nombre 560;19;3
561;nombre 561;18;18
562;nombre 562;19;9
563;nombre 563;20;10
564;nombre 564;12;18
565;nombre 565;15;8
566;nombre 566;12;4
567;nombre 567;11;11
568;nombre 568;15;20
569;nombre 569;12;5
570;nombre 570;19;15
571;nombre 571;13;9
572;nombre 572;13;8
573;nombre 573;19;10
574;nombre 574;11;9
575;nombre 575;11;4
576;nombre 576;11;2
577;nombre 577;11;12
578;nombre 578;15;19
579;nombre 579;14;19
580;nombre 580;14;19
581;nombre 581;14;15
582;nombre 582;12;2
583;nombre 583;14;8
584;nombre 584;10;20
585;nombre 585;13;18
586;nombre 586;15;14
587;nombre 587;19;16
588;nombre 588;16;12
589;nombre 589;12;17
590;nombre 590;19;9
591;nombre 591;12;18
592;nombre 592;20;14
593;nombre 593;16;15
594;nombre 594;17;20
595;nombre 595;13;20
596;nombre 596;14;1
597;nombre 597;11;2
598;nombre 598;16;0
599;nombre 599;18;17
600;nombre 600;17;0
601;nombre 601;11;17
602;nombre 602;13;20
603;nombre 603;17;3
604;nombre 604;12;18
605;nombre 605;18;18
606;nombre 606;19;18
607;nombre 607;19;16
608;nombre 608;11;9
609;nombre 609;12;14
610;nombre 610;20;3
611;nombre 611;12;16
612;nombre 612;16;17
613;nombre 613;12;20
614;nombre 614;17;10
615;nombre 615;17;16
616;nombre 616;18;10
617;nombre 617;20;19
618;nombre 618;13;4
619;nombre 619;15;12
620;nombre 620;15;1
621;nombre 621;12;18
622;nombre 622;17;1
623;nombre 623;16;4
624;nombre 624;18;7
625;nombre 625;16;20
626;nombre 626;16;15
627;nombre 627;20;17
628;nombre 628;15;17
629;nombre 629;16;0
630;nombre 630;20;8
631;nombre 631;15;19
632;nombre 632;20;7
633;nombre 633;18;12
634;nombre 634;20;19
635;nombre 635;19;16
636;nombre 636;11;6
637;nombre 637;10;18
638;nombre 638;18;10
639;nombre 639;16;3
640;nombre 640;10;14
641;nombre 641;19;19
642;nombre 642;18;3
643;nombre 643;14;16
644;nombre 644;15;9
645;nombre 645;14;4
646;nombre 646;20;17
647;nombre 647;16;9
648;nombre 648;16;1
649;nombre 649;13;3
650;nombre 650;17;0
651;nombre 651;15;6
652;nombre 652;12;7
653;nombre 653;11;4
654;nombre 654;11;5
655;nombre 655;13;4
656;nombre 656;12;4
657;nombre 657;20;3
658;nombre 658;20;12
659;nombre 659;14;14
660;nombre 660;20;0
661;nombre 661;19;7
662;nombre 662;10;18
663;nombre 663;18;1
664;nombre 664;14;16
665;nombre 665;12;15
666;nombre 666;12;4
667;nombre 667;12;18
668;nombre 668;20;11
669;nombre 669;12;14
670;nombre 670;10;0
671;nombre 671;12;2
672;nombre 672;18;3
673;nombre 673;13;0
674;nombre 674;11;18
675;nombre 675;13;11
676;nombre 676;17;18
677;nombre 677;19;10
678;nombre 678;17;9
679;nombre 679;14;2
680;nombre 680;10;6
681;nombre 681;18;9
682;nombre 682;19;10
683;nombre 683;11;9
684;nombre 684;14;2
685;nombre 685;10;16
686;nombre 686;14;8
687;nombre 687;13;3
688;nombre 688;19;11
689;nombre 689;20;15
690;nombre 690;18;17
691;nombre 691;14;5
692;nombre 692;17;15
693;nombre 693;13;19
694;nombre 694;10;5
695;nombre 695;15;9
696;nombre 696;11;6
697;nombre 697;10;5
698;nombre 698;16;8
699;nombre 699;10;18
700;nombre 700;15;11
701;nombre 701;12;4
702;nombre 702;10;19
703;nombre 703;15;2
704;nombre 704;16;17
705;nombre 705;16;19
706;nombre 706;14;14
707;nombre 707;16;14
708;nombre 708;20;1
709;nombre 709;11;1
710;nombre 710;15;10
711;nombre 711;14;9
712;nombre 712;19;5
713;nombre 713;18;12
714;nombre 714;13;18
715;nombre 715;15;9
716;nombre 716;13;4
717;nombre 717;20;11
718;nombre 718;15;7
719;nombre 719;13;17
720;nombre 720;14;12
721;nombre 721;19;20
722;nombre 722;18;7
723;nombre 723;17;9
724;nombre 724;12;11
725;nombre 725;10;4
726;nombre 726;18;5
727;nombre 727;14;12
728;nombre 728;13;19
729;nombre 729;17;6
730;nombre 730;11;1
731;nombre 731;20;4
732;nombre 732;20;13
733;nombre 733;14;10
734;nombre 734;13;20
735;nombre 735;15;2
736;nombre 736;15;10
737;nombre 737;20;10
738;nombre 738;15;7
739;nombre 739;14;15
740;nombre 740;17;12
741;nombre 741;16;17
742;nombre 742;11;0
743;nombre 743;18;18
744;nombre 744;13;15
745;nombre 745;16;17
746;nombre 746;19;7
747;nombre 747;20;14
748;nombre 748;12;5
749;nombre 749;11;18
750;nombre 750;13;16
751;nombre 751;10;3
752;nombre 752;15;5
753;nombre 753;20;0
754;nombre 754;19;16
755;nombre 755;19;9
756;nombre 756;17;6
757;nombre 757;18;14
758;nombre 758;19;16
759;nombre 759;19;7
760;nombre 760;13;7
761;nombre 761;19;19
762;nombre 762;19;18
763;nombre 763;19;0
764;nombre 764;11;6
765;nombre 765;17;13
766;nombre 766;20;15
767;nombre 767;10;16
768;nombre 768;17;17
769;nombre 769;12;6
770;nombre 770;17;16
771;nombre 771;13;11
772;nombre 772;14;7
773;nombre 773;16;6
774;nombre 774;14;3
775;nombre 775;11;10
776;nombre 776;10;0
777;nombre 777;13;7
778;nombre 778;20;2
779;nombre 779;15;18
780;nombre 780;12;3
781;nombre 781;17;1
782;nombre 782;18;3
783;nombre 783;10;10
784;nombre 784;17;5
785;nombre 785;18;14
786;nombre 786;13;6
787;nombre 787;15;20
788;nombre 788;16;7
789;nombre 789;10;8
790;nombre 790;11;2
791;nombre 791;10;15
792;nombre 792;14;6
793;nombre 793;13;12
794;nombre 794;17;18
795;nombre 795;13;12
796;nombre 796;10;2
797;nombre 797;15;19
798;nombre 798;11;20
799;nombre 799;13;8
800;nombre 800;17;0
801;nombre 801;16;5
802;nombre 802;14;0
803;nombre 803;11;5
804;nombre 804;18;19
805;nombre 805;19;14
806;nombre 806;11;11
807;nombre 807;16;18
808;nombre 808;11;8
809;nombre 809;11;12
810;nombre 810;14;19
811;nombre 811;11;9
812;nombre 812;10;17
813;nombre 813;20;8
814;nombre 814;14;19
815;nombre 815;12;0
816;nombre 816;17;11
817;nombre 817;12;10
818;nombre 818;17;3
819;nombre 819;15;16
820;nombre 820;11;14
821;nombre 821;13;4
822;nombre 822;15;8
823;nombre 823;14;19
824;nombre 824;15;3
825;nombre 825;11;8
826;nombre 826;18;4
827;nombre 827;17;18
828;nombre 828;12;9
829;nombre 829;18;9
830;nombre 830;12;9
831;nombre 831;20;16
832;nombre 832;20;10
833;nombre 833;11;16
834;nombre 834;17;14
835;nombre 835;11;17
836;nombre 836;20;10
837;nombre 837;11;2
838;nombre 838;15;0
839;nombre 839;15;1
840;nombre 840;18;7
841;nombre 841;18;11
842;nombre 842;19;10
843;nombre 843;15;4
844;nombre 844;20;8
845;nombre 845;16;15
846;nombre 846;16;12
847;nombre 847;16;6
848;nombre 848;14;3
849;nombre 849;20;7
850;nombre 850;17;19
851;nombre 851;18;19
852;nombre 852;19;19
853;nombre 853;10;8
854;nombre 854;16;3
855;nombre 855;18;11
856;nombre 856;19;16
857;nombre 857;20;8
858;nombre 858;18;7
859;nombre 859;13;3
860;nombre 860;15;11
861;nombre 861;16;2
862;nombre 862;16;7
863;nombre 863;10;1
864;nombre 864;13;7
865;nombre 865;11;5
866;nombre 866;18;2
867;nombre 867;16;7
868;nombre 868;15;13
869;nombre 869;11;15
870;nombre 870;16;10
871;nombre 871;10;12
872;nombre 872;17;10
873;nombre 873;17;5
874;nombre 874;15;3
875;nombre 875;11;5
876;nombre 876;15;9
877;nombre 877;14;19
878;nombre 878;10;17
879;nombre 879;19;11
880;nombre 880;17;20
881;nombre 881;17;6
882;nombre 882;15;6
883;nombre 883;18;18
884;nombre 884;18;20
885;nombre 885;12;5
886;nombre 886;20;2
887;nombre 887;10;9
888;nombre 888;19;4
889;nombre 889;10;7
890;nombre 890;15;20
891;nombre 891;11;1
892;nombre 892;18;20
893;nombre 893;11;7
894;nombre 894;13;17
895;nombre 895;16;1
896;nombre 896;13;7
897;nombre 897;10;2
898;nombre 898;13;18
899;nombre 899;16;13
900;nombre 900;18;15
901;nombre 901;20;18
902;nombre 902;13;13
903;nombre 903;10;10
904;nombre 904;20;2
905;nombre 905;18;9
906;nombre 906;19;11
907;nombre 907;20;17
908;nombre 908;13;1
909;nombre 909;17;1
910;nombre 910;15;15
911;nombre 911;12;18
912;nombre 912;14;20
913;nombre 913;11;18
914;nombre 914;10;11
915;nombre 915;20;20
916;nombre 916;15;15
917;nombre 917;18;17
918;nombre 918;19;15
919;nombre 919;20;17
920;nombre 920;19;8
921;nombre 921;14;13
922;nombre 922;20;2
923;nombre 923;10;16
924;nombre 924;12;12
925;nombre 925;12;5
926;nombre 926;10;14
927;nombre 927;17;12
928;nombre 928;17;15
929;nombre 929;11;6
930;nombre 930;20;1
931;nombre 931;20;8
932;nombre 932;16;9
933;nombre 933;11;17
934;nombre 934;11;2
935;nombre 935;12;2
936;nombre 936;13;11
937;nombre 937;11;0
938;nombre 938;17;0
939;nombre 939;10;13
940;nombre 940;11;16
941;nombre 941;14;18
942;nombre 942;18;19
943;nombre 943;20;9
944;nombre 944;11;4
945;nombre 945;12;16
946;nombre 946;13;2
947;nombre 947;11;9
948;nombre 948;12;10
949;nombre 949;10;7
950;nombre 950;16;19
951;nombre 951;11;4
952;nombre 952;12;17
953;nombre 953;16;17
954;nombre 954;12;19
955;nombre 955;10;16
956;nombre 956;13;7
957;nombre 957;14;16
958;nombre 958;20;17
959;nombre 959;12;13
960;nombre 960;17;7
961;nombre 961;11;18
962;nombre 962;19;7
963;nombre 963;11;3
964;nombre 964;15;15
965;nombre 965;16;17
966;nombre 966;20;17
967;nombre 967;11;5
968;nombre 968;15;9
969;nombre 969;14;20
970;nombre 970;15;19
971;nombre 971;12;3
972;nombre 972;10;16
973;nombre 973;10;18
974;nombre 974;14;9
975;nombre 975;13;0
976;nombre 976;18;15
977;nombre 977;13;2
978;nombre 978;18;5
979;nombre 979;20;0
980;nombre 980;13;19
981;nombre 981;18;4
982;nombre 982;17;12
983;nombre 983;15;11
984;nombre 984;10;9
985;nombre 985;17;15
986;nombre 986;20;3
987;nombre 987;14;8
988;nombre 988;15;12
989;nombre 989;14;12
990;nombre 990;14;15
991;nombre 991;18;20
992;nombre 992;16;9
993;nombre 993;10;2
994;nombre 994;11;20
995;nombre 995;14;14
996;nombre 996;12;12
997;nombre 997;17;13
998;nombre 998;16;16
999;nombre 999;17;20
1000;nombre 1000;19;19
1001;nombre 1001;13;5
1002;nombre 1002;10;20
1003;nombre 1003;13;15
1004;nombre 1004;10;12
1005;nombre 1005;19;0
1006;nombre 1006;20;9
1007;nombre 1007;15;9
1008;nombre 1008;16;20
1009;nombre 1009;17;17
1010;nombre 1010;10;9
1011;nombre 1011;16;15
1012;nombre 1012;17;19
1013;nombre 1013;18;10
1014;nombre 1014;10;20
1015;nombre 1015;12;12
1016;nombre 1016;11;3
1017;nombre 1017;19;4
1018;nombre 1018;19;20
1019;nombre 1019;15;10
1020;nombre 1020;14;7
1021;nombre 1021;16;19
1022;nombre 1022;12;14
1023;nombre 1023;14;16
1024;nombre 1024;13;10
1025;nombre 1025;11;17
1026;nombre 1026;14;4
1027;nombre 1027;19;3
1028;nombre 1028;14;2
1029;nombre 1029;20;4
1030;nombre 1030;10;5
1031;nombre 1031;12;5
1032;nombre 1032;14;18
1033;nombre 1033;19;3
1034;nombre 1034;17;10
1035;nombre 1035;13;16
1036;nombre 1036;16;6
1037;nombre 1037;12;19
1038;nombre 1038;20;18
1039;nombre 1039;12;8
1040;nombre 1040;10;16
1041;nombre 1041;10;8
1042;nombre 1042;11;12
1043;nombre 1043;14;10
1044;nombre 1044;13;5
1045;nombre 1045;11;10
1046;nombre 1046;10;13
1047;nombre 1047;16;10
1048;nombre 1048;19;20
1049;nombre 1049;15;7
1050;nombre 1050;12;4
1051;nombre 1051;16;19
1052;nombre 1052;14;6
1053;nombre 1053;15;15
1054;nombre 1054;13;5
1055;nombre 1055;14;3
1056;nombre 1056;14;11
1057;nombre 1057;11;8
1058;nombre 1058;12;7
1059;nombre 1059;11;6
1060;nombre 1060;20;15
1061;nombre 1061;20;1
1062;nombre 1062;18;12
1063;nombre 1063;10;16
1064;nombre 1064;15;16
1065;nombre 1065;15;14
1066;nombre 1066;16;16
1067;nombre 1067;17;6
1068;nombre 1068;16;2
1069;nombre 1069;19;15
1070;nombre 1070;12;17
1071;nombre 1071;16;13
1072;nombre 1072;20;18
1073;nombre 1073;17;9
1074;nombre 1074;20;10
1075;nombre 1075;18;15
1076;nombre 1076;10;6
1077;nombre 1077;18;9
1078;nombre 1078;19;4
1079;nombre 1079;19;7
1080;nombre 1080;17;0
1081;nombre 1081;13;20
1082;nombre 1082;15;16
1083;nombre 1083;11;17
1084;nombre 1084;17;6
1085;nombre 1085;17;10
1086;nombre 1086;14;11
1087;nombre 1087;16;2
1088;nombre 1088;10;1
1089;nombre 1089;13;17
1090;nombre 1090;10;19
1091;nombre 1091;14;6
1092;nombre 1092;19;7
1093;nombre 1093;12;14
1094;nombre 1094;12;10
1095;nombre 1095;13;18
1096;nombre 1096;12;5
1097;nombre 1097;12;1
1098;nombre 1098;18;3
1099;nombre 1099;19;4
1100;nombre 1100;12;8
1101;nombre 1101;12;16
1102;nombre 1102;16;6
1103;nombre 1103;12;4
1104;nombre 1104;12;9
1105;nombre 1105;17;11
1106;nombre 1106;17;0
1107;nombre 1107;11;15
1108;nombre 1108;19;15
1109;nombre 1109;13;5
1110;nombre 1110;10;18
1111;nombre 1111;17;17
1112;nombre 1112;10;19
1113;nombre 1113;20;19
1114;nombre 1114;14;16
1115;nombre 1115;14;6
1116;nombre 1116;10;9
1117;nombre 1117;18;18
1118;nombre 1118;16;10
1119;nombre 1119;11;4
1120;nombre 1120;15;1
1121;nombre 1121;10;2
1122;nombre 1122;13;14
1123;nombre 1123;15;13
1124;nombre 1124;13;16
1125;nombre 1125;17;13
1126;nombre 1126;13;1
1127;nombre 1127;14;16
1128;nombre 1128;18;2
1129;nombre 1129;14;16
1130;nombre 1130;18;0
1131;nombre 1131;14;17
1132;nombre 1132;15;1
1133;nombre 1133;19;8
1134;nombre 1134;14;20
1135;nombre 1135;18;0
1136;nombre 1136;17;12
1137;nombre 1137;20;14
1138;nombre 1138;14;6
1139;nombre 1139;12;16
1140;nombre 1140;14;7
1141;nombre 1141;13;3
